Kabupaten/Kota,Tahun,Tingkat Kemiskinan ,PDRB ,IPM ,Tingkat_Pengangguran,Jumlah_Penduduk
Majalengka,2019,10.06,31340.23,67.52,4.37,1205034
Majalengka,2020,11.43,32179.22,69.2,5.84,1210709
Majalengka,2021,12.33,34200.68,69.42,5.71,1315000
Majalengka,2022,11.94,37778.84,70.18,4.16,1328000
Sumedang,2018,9.76,32533.27,70.99,7.54,1149906
Sumedang,2019,9.05,35439.62,71.46,7.70,1152400
Sumedang,2020,10.26,35489.08,72.48,9.89,1154428
Sumedang,2021,10.71,37250.25,72.64,9.18,1159000
Sumedang,2022,10.14,40220.76,73.53,7.72,1169000
Indramayu,2018,11.89,74920.42,66.36,8.46,1719187
Indramayu,2019,11.11,80389.86,66.97,8.35,1728469
Indramayu,2020,12.7,79286.23,68.25,9.21,1737624
Indramayu,2021,13.04,81594.85,68.6,8.30,1852000
Indramayu,2022,12.77,90773.38,69.52,6.49,1873000
Subang,2018,8.67,37520.08,68.31,8.71,1579018
Subang,2019,8.12,40790.68,68.69,8.68,1595825
Subang,2020,9.31,40148.31,69.66,9.48,1612576
Subang,2021,10.03,43292.91,69.84,9.77,1621000
Subang,2022,9.75,46110.6,70.54,7.77,1636000
Purwakarta,2018,7.99,63116.67,69.98,9.94,953414
Purwakarta,2019,7.48,67709.51,70.67,9.73,962893
Purwakarta,2020,8.27,66971.59,72.15,11.07,971889
Purwakarta,2021,8.83,70778.25,72.31,10.70,1009000
Purwakarta,2022,8.7,76468.93,72.89,8.75,1023000
Karawang,2018,8.06,215547.36,69.89,9.12,2336009
Karawang,2019,7.39,230201.34,70.86,9.68,2353915
Karawang,2020,8.26,223422.08,71.56,11.52,2370488
Karawang,2021,8.95,243713.32,71.84,11.83,2466000
Karawang,2022,8.44,268228.79,72.64,9.87,2496000
Bekasi,2018,4.37,305559.64,73.49,9.74,3630907
Bekasi,2019,4.01,326083.64,73.99,9.00,3763886
Bekasi,2020,4.82,317663.82,74.47,11.54,3899017
Bekasi,2021,5.21,340389.97,74.84,10.09,3149000
Bekasi,2022,5.01,367573.27,75.6,10.31,3194000
Bandung Barat,2018,10.06,43807.71,67.46,8.55,1683711
Bandung Barat,2019,9.38,47180.08,68.27,8.24,1699896
Bandung Barat,2020,10.49,46478.9,68.81,12.25,1714982
Bandung Barat,2021,11.3,48764.31,69.03,11.65,1808000
Bandung Barat,2022,10.82,52921.29,69.82,9.63,1834000
Pangandaran,2018,8.12,10352.33,67.44,3.59,397187
Pangandaran,2019,7.71,11311.69,68.21,4.52,399284
Pangandaran,2020,8.99,11498.23,69.24,5.08,401493
Pangandaran,2021,9.65,12129.69,69.46,3.25,426000
Pangandaran,2022,9.32,13163.7,70.21,1.56,429000
Kota Bogor,2018,5.93,42261.02,75.66,9.74,1096828
Kota Bogor,2019,5.77,46197.76,76.23,9.16,1112081
Kota Bogor,2020,6.68,45911.86,76.63,12.68,1126927
Kota Bogor,2021,7.24,48325.64,77.11,11.79,1051000
Kota Bogor,2022,7.1,52914.6,77.68,10.78,1061000
Kota Sukabumi,2018,7.12,11472.89,73.55,8.57,326282
Kota Sukabumi,2019,6.67,12387.89,74.31,8.49,328680
Kota Sukabumi,2020,7.7,12401.54,75.06,12.17,330691
Kota Sukabumi,2021,8.25,13053.04,75.44,10.78,350000
Kota Sukabumi,2022,8.02,14192.25,76.24,8.83,355000
Kota Bandung,2018,3.57,264393.08,81.06,8.05,2503708
Kota Bandung,2019,3.38,288460.88,81.62,8.18,2507888
Kota Bandung,2020,3.99,283626.74,81.78,11.19,2510103
Kota Bandung,2021,4.37,297116.26,82.23,11.46,2461000
Kota Bandung,2022,4.25,328317.61,82.75,9.55,2484000
Kota Cirebon,2018,8.88,21639.26,74.35,9.07,316277
Kota Cirebon,2019,8.41,23491.8,74.92,9.04,319312
Kota Cirebon,2020,9.52,23428.79,75.91,10.97,322322
Kota Cirebon,2021,10.03,24506.59,76.26,10.53,336000
Kota Cirebon,2022,9.82,26617.84,76.89,8.42,339000
Kota Bekasi,2018,4.11,90980.62,81.04,9.14,2931897
Kota Bekasi,2019,3.81,98107.7,81.59,8.30,3003923
Kota Bekasi,2020,4.38,96492.28,81.5,10.68,3075690
Kota Bekasi,2021,4.74,101383.36,81.99,10.88,2568000
Kota Bekasi,2022,4.43,109881.38,82.52,8.81,2598000
Kota Depok,2018,2.14,64363.24,80.29,6.66,2330333
Kota Depok,2019,2.07,70964.04,80.82,6.12,2406826
Kota Depok,2020,2.45,70386.33,81.14,9.87,2484186
Kota Depok,2021,2.58,74382.34,81.54,9.76,2081000
Kota Depok,2022,2.53,81166.75,82.02,7.82,2114000
Kota Cimahi,2018,4.94,29240.03,77.56,8.00,607811
Kota Cimahi,2019,4.39,32639.54,78.11,8.09,614304
Kota Cimahi,2020,5.11,32210.68,78.09,13.30,620393
Kota Cimahi,2021,5.35,34244.47,78.31,13.07,574000
Kota Cimahi,2022,5.11,37538.21,79.01,10.77,583000
Kota Tasikmalaya,2018,12.71,19977.56,72.03,6.89,662723
Kota Tasikmalaya,2019,11.6,21750.91,72.84,6.78,663517
Kota Tasikmalaya,2020,12.97,21589.36,74.04,7.99,663986
Kota Tasikmalaya,2021,13.13,22844.02,74.31,7.66,723000
Kota Tasikmalaya,2022,12.72,24974.68,74.84,6.62,732000
Kota Banjar,2018,5.7,4106.62,71.25,5.95,182819
Kota Banjar,2019,5.5,4379.81,71.75,6.16,183110
Kota Banjar,2020,6.09,4445.12,73.08,6.73,183299
Kota Banjar,2021,7.11,4656.64,73.3,6.09,203000
Kota Banjar,2022,6.73,70778.25,73.93,5.53,205000
