Kabupaten/Kota;Tahun;Tingkat Kemiskinan;PDRB;IPM;Tingkat_Pengangguran;
Kota Bekasi;2018;4.11;90980.62;81.04;9.14;
Kota Bekasi;2019;3.81;98107.7;81.59;8.30;
Kota Bekasi;2020;4.38;96492.28;81.5;10.68;
Kota Bekasi;2021;4.74;101383.36;81.99;10.88;
Kota Bekasi;2022;4.43;109881.38;82.52;8.81;
Kota Depok;2018;2.14;64363.24;80.29;6.66;
Kota Depok;2019;2.07;70964.04;80.82;6.12;
Kota Depok;2020;2.45;70386.33;81.14;9.87;
Kota Depok;2021;2.58;74382.34;81.54;9.76;
Kota Depok;2022;2.53;81166.75;82.02;7.82;
Kota Cimahi;2018;4.94;29240.03;77.56;8.00;
Kota Cimahi;2019;4.39;32639.54;78.11;8.09;
Kota Cimahi;2020;5.11;32210.68;78.09;13.30;
Kota Cimahi;2021;5.35;34244.47;78.31;13.07;
Kota Cimahi;2022;5.11;37538.21;79.01;10.77;
Kota Tasikmalaya;2018;12.71;19977.56;72.03;6.89;
Kota Tasikmalaya;2019;11.6;21750.91;72.84;6.78;
Kota Tasikmalaya;2020;12.97;21589.36;74.04;7.99;
Kota Tasikmalaya;2021;13.13;22844.02;74.31;7.66;
Kota Tasikmalaya;2022;12.72;24974.68;74.84;6.62;
Kota Banjar;2018;5.7;4106.62;71.25;5.95;
Kota Banjar;2019;5.5;4379.81;71.75;6.16;
Kota Banjar;2020;6.09;4445.12;73.08;6.73;
Kota Banjar;2021;7.11;4656.64;73.3;6.09;
Kota Banjar;2022;6.73;70778.25;73.93;5.53;
