Kabupaten/Kota,Tahun,PDRB (Y),Investasi (X1),Tingkat Kemiskinan (X2),IPM (X3),Pengeluaran pemerintah daerah (X4),Jumlah Angkatan kerja (X5)
Karawang,2022,268228.79,8341000000000,8.44,72.64,4828596000000,1195947
Bekasi,2018,305559.64,15001000000000,4.37,73.49,6329205239870,1629297
Bekasi,2019,326083.64,20207000000000,4.01,73.99,6701777032410,1771709
Bekasi,2020,317663.82,11411000000000,4.82,74.47,6712485947570,1840666
Bekasi,2021,340389.97,11777000000000,5.21,74.84,6192203000000,1953408
Bekasi,2022,367573.27,17880000000000,5.01,75.6,6176744000000,2006507
Bandung Barat,2018,43807.71,44000000000,10.06,67.46,2926114401200,747616
Bandung Barat,2019,47180.08,42000000000,9.38,68.27,3174903974800,764951
Bandung Barat,2020,46478.9,175000000000,10.49,68.81,2764080621200,747644
Bandung Barat,2021,48764.31,193000000000,11.3,69.03,2917749000000,765935
Bandung Barat,2022,52921.29,704000000000,10.82,69.82,2948705000000,819559
Pangandaran,2018,10352.33,15500000000,8.12,67.44,1166098869940,243293
Pangandaran,2019,11311.69,0,7.71,68.21,1478535458220,237582
Pangandaran,2020,11498.23,11200000000,8.99,69.24,1688146874540,245619
Pangandaran,2021,12129.69,18900000000,9.65,69.46,1549232000000,241542
Pangandaran,2022,13163.7,404600000000,9.32,70.21,1446936000000,260761
Kota Bogor,2018,42261.02,2831000000000,5.93,75.66,2717401935140,519693
Kota Bogor,2019,46197.76,2353000000000,5.77,76.23,2961659337790,531597
Kota Bogor,2020,45911.86,1521000000000,6.68,76.63,2762917220620,514323
Kota Bogor,2021,48325.64,360000000000,7.24,77.11,2773344000000,529003
Kota Bogor,2022,52914.6,1302000000000,7.1,77.68,2996233000000,556541
Kota Sukabumi,2018,11472.89,0,7.12,73.55,1360586288910,146230
Kota Sukabumi,2019,12387.89,35900000000,6.67,74.31,1403097152000,154907
Kota Sukabumi,2020,12401.54,77700000000,7.7,75.06,1283818081000,139657
Kota Sukabumi,2021,13053.04,197200000000,8.25,75.44,1203051000000,143914
Kota Sukabumi,2022,14192.25,56400000000,8.02,76.24,1263193000000,159618
Kota Bandung,2018,264393.08,2129000000000,3.57,81.06,6541791982000,1232747
Kota Bandung,2019,288460.88,2518000000000,3.38,81.62,6616198953300,1326370
Kota Bandung,2020,283626.74,8624000000000,3.99,81.78,5885563973400,1314930
Kota Bandung,2021,297116.26,8957000000000,4.37,82.23,5713507000000,1339128
Kota Bandung,2022,328317.61,3933000000000,4.25,82.75,6484385000000,1435635
Kota Cirebon,2018,21639.26,523100000000,8.88,74.35,1503054977900,163184
Kota Cirebon,2019,23491.8,2700000000,8.41,74.92,1810629947110,152379
Kota Cirebon,2020,23428.79,30700000000,9.52,75.91,1709604413130,156500
Kota Cirebon,2021,24506.59,72600000000,10.03,76.26,1339063000000,155798
Kota Cirebon,2022,26617.84,218500000000,9.82,76.89,1441991000000,163639
Kota Bekasi,2018,90980.62,2675000000000,4.11,81.04,5142512625050,1452009
Kota Bekasi,2019,98107.7,4086000000000,3.81,81.59,5755333118580,1496488
Kota Bekasi,2020,96492.28,3789000000000,4.38,81.5,5277938976950,1509841
Kota Bekasi,2021,101383.36,5138000000000,4.74,81.99,5717485000000,1544421
Kota Bekasi,2022,109881.38,8935000000000,4.43,82.52,5795692000000,1592545
Kota Depok,2018,64363.24,1284000000000,2.14,80.29,3659366046520,1096952
Kota Depok,2019,70964.04,4470000000000,2.07,80.82,4001923293140,1176722
Kota Depok,2020,70386.33,7175000000000,2.45,81.14,3730371524690,1195632
Kota Depok,2021,74382.34,3229000000000,2.58,81.54,3267621000000,1207111
Kota Depok,2022,81166.75,3251000000000,2.53,82.02,3371946000000,1258739
Kota Cimahi,2018,29240.03,144700000000,4.94,77.56,1656270599550,296075
Kota Cimahi,2019,32639.54,91900000000,4.39,78.11,1648100228680,293749
Kota Cimahi,2020,32210.68,261500000000,5.11,78.09,1588238402880,293754
Kota Cimahi,2021,34244.47,48300000000,5.35,78.31,1482368000000,292252
Kota Cimahi,2022,37538.21,444500000000,5.11,79.01,1388298000000,320574
Kota Tasikmalaya,2018,19977.56,43600000000,12.71,72.03,1945643329180,316261
Kota Tasikmalaya,2019,21750.91,2200000000,11.6,72.84,2009798061370,333149
Kota Tasikmalaya,2020,21589.36,15400000000,12.97,74.04,1838326260220,343285
Kota Tasikmalaya,2021,22844.02,1000000000,13.13,74.31,2057476000000,342585
Kota Tasikmalaya,2022,24974.68,127400000000,12.72,74.84,1942220000000,347063
Kota Banjar,2018,4106.62,0,5.7,71.25,887431913030,92618
Kota Banjar,2019,4379.81,0,5.5,71.75,1017745761930,97471
Kota Banjar,2020,4445.12,5390000000,6.09,73.08,828403217000,98212
Kota Banjar,2021,4656.64,1090000000,7.11,73.3,760252000000,94378
Kota Banjar,2022,70778.25,29560000000,6.73,73.93,796580000000,94831
Jawa Barat,2018,1960627.65,42278000000000,7.45,71.3,94102646022590,22814361
Jawa Barat,2019,2123153.71,49284000000000,6.91,72.03,102023670284290,23993348
Jawa Barat,2020,2082107.26,51401000000000,7.88,72.61,96841517235060,24207930
Jawa Barat,2021,2204660.23,59549000000000,8.4,72.96,93802652000000,24743628
Jawa Barat,2022,2422782.32,80808000000000,8.06,73.63,96300770000000,25578174
